,KO_Gene,Paralog,Perc_ID,Paralog_expr,Paralog_expr_count,CTRL_expr,CTRL_expr_count,FC2,KO_FC2,upreg
0,DOK2,DOK1,29.9376,20.895048743403116,97.5,15.456250965794895,75.375,0.43272887584201014,-0.39613620062979904,0
8,EGR1,EGR3,47.2868,5.458675151940657,3.0,6.025876748839217,19.625,-0.48063346017077346,0.8958473402771081,0
11,EGR2,EGR1,35.9116,788.858475817261,1832.5,529.9348101434479,1275.0,0.512003685750968,0.6084067132975517,1
12,EGR2,EGR3,54.2636,4.530735177952283,13.5,6.025876748839217,19.625,-0.7662207905002947,0.6084067132975517,0
15,EGR3,EGR1,33.7017,834.4285658723363,1497.0,529.9348101434479,1275.0,0.6211247496651002,0.32225737033371493,1
20,FOS,BATF,30.4,5.768871992244742,0.5,3.3631012757731527,33.875,-0.051045159693845155,1.7072050028883454,0
25,FOS,FOSL2,46.319,5.705399531372452,0.5,2.345035069912374,21.125,0.4603949513067068,1.7072050028883454,0
27,JUN,JUNB,46.6859,336.9227676048731,523.0,334.6566486580328,386.0,-0.025344089459230945,0.31618130118412535,0
28,JUN,JUND,49.2795,1410.1960093755843,2291.5,946.3574838363814,1125.25,0.5749552454489144,0.31618130118412535,1
29,JUND,JUN,51.6616,67.85017563553026,4.0,57.73651833012178,246.875,0.222921128273388,0.11303117917633947,0
30,JUND,JUNB,41.2104,361.8454216292165,5.5,334.6566486580328,386.0,0.09792268449040858,0.11303117917633947,0
38,LCK,CSK,38.2222,17.489603040904676,244.0,6.098173764642688,69.5,1.4948655687577752,-0.5200788644617574,1
40,LCK,FES,20.8029,7.322919184761933,55.5,11.478055837067265,86.5,-0.7795228046424291,-0.5200788644617574,0
64,LCK,ZAP70,25.8481,20.05407847886233,360.5,18.969664995774988,307.5,0.020601754119877996,-0.5200788644617574,0
76,NFKB1,RELB,27.9793,24.096977477731137,522.0,19.937682801473454,418.625,0.27335445177396295,0.23387259354798345,0
74,NFKB1,REL,28.6201,5.377553285194015,135.0,3.7268263356902604,87.25,0.5290023218325773,0.23387259354798345,1
75,NFKB1,RELA,27.9492,12.644325562298963,68.0,19.784116865031955,117.75,-0.6458525799716501,0.23387259354798345,0
79,NFKB2,RELA,29.0381,23.4731200758966,88.5,19.784116865031955,117.75,0.2316230109398412,-0.9361417232858527,0
80,NFKB2,RELB,27.8066,17.22258784103508,244.0,19.937682801473454,418.625,-0.27870294276580776,-0.9361417232858527,0
83,PTPN11,PTPN1,25.0575,14.823622353576491,766.5,7.320746484243977,304.125,1.0136781455296384,-0.5607646132776982,1
87,PTPN11,PTPN18,21.7391,5.674927465871075,67.0,2.9398284323637647,24.25,0.9455179678297441,-0.5607646132776982,1
96,PTPN11,PTPN6,54.4538,5.084336965738606,45.0,3.0530974396727584,19.625,0.7314455719991079,-0.5607646132776982,1
97,PTPN11,PTPN7,31.1111,38.33590084456109,394.5,16.52022733227578,141.625,1.213499840142036,-0.5607646132776982,1
101,PTPN11,PTPRC,11.4855,7.287513466632879,529.5,4.066543912162388,232.5,0.8252135046733896,-0.5607646132776982,1
136,PTPN6,PTPRC,11.3323,6.216090992581201,141.0,4.066543912162388,232.5,0.6066037666188948,-0.5542144029723974,1
118,PTPN6,PTPN1,23.6782,11.914713816915832,165.5,7.320746484243977,304.125,0.7024528732079314,-0.5542144029723974,1
123,PTPN6,PTPN18,21.9565,7.519320849086296,23.5,2.9398284323637647,24.25,1.3493387513639705,-0.5542144029723974,1
132,PTPN6,PTPN7,28.0556,25.682722515582782,90.5,16.52022733227578,141.625,0.6012010565877279,-0.5542144029723974,1
156,RELA,RELB,31.7789,7.984496544060606,141.0,19.937682801473454,418.625,-1.3483399166250296,-1.6164316991532617,0
