,KO_Gene,Paralog,Perc_ID,Paralog_expr,Paralog_expr_count,CTRL_expr,CTRL_expr_count,FC2,KO_FC2,upreg
0,CMTR1,CMTR2,17.9221,31.49076124623769,198.33333333333334,34.46558107030227,290.0,-0.014082122589215275,0.4735529384848553,0
3,WDR7,DCAF4,14.3434,6.517704782897642,203.33333333333334,3.8585720710815963,79.0,0.7459456559619747,0.10838572743180123,1
4,WDR7,DCAF4L1,13.3838,10.039981396331216,38.333333333333336,10.40935732876018,25.0,-0.4550226291679969,0.10838572743180123,0
7,WDR7,NEDD1,14.242399999999998,16.26013533574483,702.6666666666666,7.009433733974043,244.66666666666666,1.199132683897845,0.10838572743180123,1
9,WDR7,PAFAH1B1,16.8293,9.976302130739425,777.3333333333334,11.112955217334155,757.3333333333334,-0.17394266660944227,0.10838572743180123,0
10,WDR7,PAK1IP1,19.1327,49.41026839243017,706.6666666666666,96.7580322509013,977.0,-0.9845158162272111,0.10838572743180123,0
12,WDR7,POC1B,17.9916,6.623028871116799,620.0,6.751045650367381,402.0,-0.04749381651540979,0.10838572743180123,0
13,WDR7,SNRNP40,17.0868,24.46032668000446,822.6666666666666,32.0187640097797,899.3333333333334,-0.4103373832830806,0.10838572743180123,0
14,WDR7,TBL2,15.660000000000002,54.73313885146436,567.6666666666666,19.032898835819314,162.66666666666666,1.4902593114474358,0.10838572743180123,1
18,WDR7,WDR38,18.7898,3.881492294055196,16.666666666666668,11.231078702494953,42.0,-1.6732851666297044,0.10838572743180123,0
19,WDR7,WDR43,13.7371,40.83438018512738,2032.0,46.65024943207806,1631.6666666666667,-0.2087820918937219,0.10838572743180123,0
20,WDR7,WDR5,18.2635,15.541890417265769,357.6666666666667,12.63268978205494,217.66666666666666,0.2958297197200153,0.10838572743180123,0
21,WDR7,WDR5B,18.7879,39.35667004815165,181.33333333333334,16.751417760929108,42.0,1.212786188605863,0.10838572743180123,1
22,WDR7,WDR62,10.2429,9.84730145885745,473.0,8.816208159594105,304.0,0.1511464045718964,0.10838572743180123,0
23,WDR7,WDR75,11.5663,22.656092034068212,702.0,25.942095858151763,510.3333333333333,-0.21131736957131633,0.10838572743180123,0
